Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,Temperature,Heart Rate
73,"6/18/20, 1:20:45 PM",134 ft,0:00:04,23 mph,762 ft,359° true,N42° 34.303' W83° 11.671',89.6 °F,67
74,"6/18/20, 1:20:49 PM",37 ft,0:00:01,25 mph,763 ft,357° true,N42° 34.325' W83° 11.672',89.6 °F,66
75,"6/18/20, 1:20:50 PM",39 ft,0:00:01,27 mph,763 ft,358° true,N42° 34.331' W83° 11.672',89.6 °F,71
76,"6/18/20, 1:20:51 PM",38 ft,0:00:01,26 mph,763 ft,357° true,N42° 34.338' W83° 11.672',89.6 °F,75
77,"6/18/20, 1:20:52 PM",38 ft,0:00:01,26 mph,763 ft,356° true,N42° 34.344' W83° 11.673',89.6 °F,80
78,"6/18/20, 1:20:53 PM",38 ft,0:00:01,26 mph,763 ft,357° true,N42° 34.350' W83° 11.673',89.6 °F,80
79,"6/18/20, 1:20:54 PM",38 ft,0:00:01,26 mph,763 ft,357° true,N42° 34.356' W83° 11.674',89.6 °F,76
80,"6/18/20, 1:20:55 PM",37 ft,0:00:01,25 mph,762 ft,359° true,N42° 34.363' W83° 11.674',89.6 °F,72
81,"6/18/20, 1:20:56 PM",109 ft,0:00:03,25 mph,762 ft,358° true,N42° 34.369' W83° 11.674',89.6 °F,68
82,"6/18/20, 1:20:59 PM",113 ft,0:00:03,26 mph,762 ft,359° true,N42° 34.387' W83° 11.675',89.6 °F,64
83,"6/18/20, 1:21:02 PM",190 ft,0:00:05,26 mph,762 ft,357° true,N42° 34.405' W83° 11.676',89.6 °F,64
84,"6/18/20, 1:21:07 PM",72 ft,0:00:02,24 mph,761 ft,359° true,N42° 34.436' W83° 11.678',89.6 °F,66
85,"6/18/20, 1:21:09 PM",174 ft,0:00:05,24 mph,761 ft,359° true,N42° 34.448' W83° 11.678',89.6 °F,66
86,"6/18/20, 1:21:14 PM",33 ft,0:00:01,23 mph,762 ft,356° true,N42° 34.477' W83° 11.678',89.6 °F,67
87,"6/18/20, 1:21:15 PM",60 ft,0:00:02,20 mph,762 ft,337° true,N42° 34.482' W83° 11.679',89.6 °F,67
