Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,Temperature,Heart Rate
109,"5/13/20, 12:53:10 PM",92 ft,0:00:03,21 mph,763 ft,182° true,N42° 34.308' W83° 11.811',95.0 °F,63
110,"5/13/20, 12:53:13 PM",39 ft,0:00:02,13 mph,763 ft,190° true,N42° 34.293' W83° 11.812',95.0 °F,64
111,"5/13/20, 12:53:15 PM",9 ft,0:00:01,6 mph,762 ft,197° true,N42° 34.287' W83° 11.813',95.0 °F,61
112,"5/13/20, 12:53:16 PM",23 ft,0:00:04,3.9 mph,762 ft,195° true,N42° 34.286' W83° 11.814',95.0 °F,60
113,"5/13/20, 12:53:20 PM",60 ft,0:00:03,14 mph,762 ft,195° true,N42° 34.282' W83° 11.815',95.0 °F,57
114,"5/13/20, 12:53:23 PM",146 ft,0:00:05,20 mph,763 ft,188° true,N42° 34.272' W83° 11.818',95.0 °F,58
115,"5/13/20, 12:53:28 PM",124 ft,0:00:05,17 mph,764 ft,176° true,N42° 34.249' W83° 11.823',95.0 °F,59
116,"5/13/20, 12:53:33 PM",26 ft,0:00:02,9 mph,765 ft,164° true,N42° 34.228' W83° 11.821',95.0 °F,59
117,"5/13/20, 12:53:35 PM",14 ft,0:00:01,9 mph,764 ft,127° true,N42° 34.224' W83° 11.820',95.0 °F,58
118,"5/13/20, 12:53:36 PM",17 ft,0:00:01,11 mph,764 ft,106° true,N42° 34.223' W83° 11.817',95.0 °F,61
119,"5/13/20, 12:53:37 PM",78 ft,0:00:03,18 mph,764 ft,82° true,N42° 34.222' W83° 11.814',95.0 °F,60
120,"5/13/20, 12:53:40 PM",132 ft,0:00:04,23 mph,762 ft,84° true,N42° 34.224' W83° 11.797',95.0 °F,59
121,"5/13/20, 12:53:44 PM",66 ft,0:00:02,23 mph,760 ft,85° true,N42° 34.226' W83° 11.767',95.0 °F,58
122,"5/13/20, 12:53:46 PM",101 ft,0:00:03,23 mph,763 ft,85° true,N42° 34.227' W83° 11.753',95.0 °F,61
123,"5/13/20, 12:53:49 PM",69 ft,0:00:02,23 mph,763 ft,86° true,N42° 34.228' W83° 11.730',95.0 °F,64
124,"5/13/20, 12:53:51 PM",100 ft,0:00:03,23 mph,760 ft,87° true,N42° 34.229' W83° 11.715',95.0 °F,64
125,"5/13/20, 12:53:54 PM",81 ft,0:00:03,18 mph,759 ft,86° true,N42° 34.230' W83° 11.693',95.0 °F,62
126,"5/13/20, 12:53:57 PM",20 ft,0:00:01,13 mph,757 ft,102° true,N42° 34.231' W83° 11.675',95.0 °F,61
127,"5/13/20, 12:53:58 PM",31 ft,0:00:02,10 mph,757 ft,143° true,N42° 34.230' W83° 11.670',95.0 °F,62
128,"5/13/20, 12:54:00 PM",83 ft,0:00:04,14 mph,756 ft,182° true,N42° 34.226' W83° 11.666',95.0 °F,62
129,"5/13/20, 12:54:04 PM",77 ft,0:00:03,18 mph,755 ft,178° true,N42° 34.212' W83° 11.667',95.0 °F,62
130,"5/13/20, 12:54:07 PM",63 ft,0:00:02,21 mph,755 ft,180° true,N42° 34.200' W83° 11.666',95.0 °F,65
131,"5/13/20, 12:54:09 PM",133 ft,0:00:04,23 mph,754 ft,183° true,N42° 34.189' W83° 11.666',95.0 °F,68
132,"5/13/20, 12:54:13 PM",62 ft,0:00:02,21 mph,753 ft,179° true,N42° 34.168' W83° 11.668',95.0 °F,67
133,"5/13/20, 12:54:15 PM",82 ft,0:00:03,19 mph,752 ft,181° true,N42° 34.158' W83° 11.667',95.0 °F,68
134,"5/13/20, 12:54:18 PM",25 ft,0:00:01,17 mph,751 ft,157° true,N42° 34.144' W83° 11.668',95.0 °F,68
135,"5/13/20, 12:54:19 PM",25 ft,0:00:01,17 mph,751 ft,135° true,N42° 34.140' W83° 11.665',95.0 °F,68
136,"5/13/20, 12:54:20 PM",31 ft,0:00:01,21 mph,751 ft,99° true,N42° 34.137' W83° 11.662',95.0 °F,67
137,"5/13/20, 12:54:21 PM",30 ft,0:00:01,21 mph,751 ft,89° true,N42° 34.137' W83° 11.655',95.0 °F,69
138,"5/13/20, 12:54:22 PM",64 ft,0:00:02,22 mph,751 ft,82° true,N42° 34.137' W83° 11.648',95.0 °F,69
139,"5/13/20, 12:54:24 PM",95 ft,0:00:03,22 mph,750 ft,83° true,N42° 34.138' W83° 11.634',95.0 °F,68
140,"5/13/20, 12:54:27 PM",78 ft,0:00:03,18 mph,749 ft,90° true,N42° 34.140' W83° 11.613',95.0 °F,67
141,"5/13/20, 12:54:30 PM",19 ft,0:00:01,13 mph,748 ft,82° true,N42° 34.140' W83° 11.595',95.0 °F,68
142,"5/13/20, 12:54:31 PM",28 ft,0:00:02,10 mph,747 ft,52° true,N42° 34.141' W83° 11.591',95.0 °F,68
143,"5/13/20, 12:54:33 PM",33 ft,0:00:02,11 mph,746 ft,11° true,N42° 34.143' W83° 11.586',95.0 °F,69
144,"5/13/20, 12:54:35 PM",21 ft,0:00:01,14 mph,745 ft,3° true,N42° 34.149' W83° 11.585',95.0 °F,69
145,"5/13/20, 12:54:36 PM",96 ft,0:00:04,16 mph,745 ft,356° true,N42° 34.152' W83° 11.585',95.0 °F,68
146,"5/13/20, 12:54:40 PM",25 ft,0:00:01,17 mph,746 ft,356° true,N42° 34.168' W83° 11.586',95.0 °F,64
147,"5/13/20, 12:54:41 PM",25 ft,0:00:01,17 mph,746 ft,357° true,N42° 34.172' W83° 11.586',95.0 °F,60
148,"5/13/20, 12:54:42 PM",108 ft,0:00:05,15 mph,746 ft,354° true,N42° 34.176' W83° 11.587',95.0 °F,58
149,"5/13/20, 12:54:47 PM",72 ft,0:00:05,10 mph,746 ft,359° true,N42° 34.194' W83° 11.589',95.0 °F,56
